"scriptName","agreeCount","author","type"
"Order Blocks & Breaker Blocks [LuxAlgo]","25230","LuxAlgo","study"
"Super OrderBlock / FVG / BoS Tools by makuchaku & eFe","25134","makuchaku","study"
"ICT Concepts [LuxAlgo]","25104","LuxAlgo","study"
"Buyside & Sellside Liquidity [LuxAlgo]","24647","LuxAlgo","study"
"Market Structure BOS/CHOCH/MSB/FVG/OB/BB (Nephew_Sam_)","24268","nephew_sam_","study"
"CM_Pivot Points_M-W-D-4H-1H_Filtered","24226","ChrisMoody",
"Volume-based Support & Resistance Zones","24203","tommyf1001","study"
"Smart Money Breakout Channels [AlgoAlpha]","24129","AlgoAlpha","study"
"CM RSI-2 Strategy Lower Indicator","24101","ChrisMoody",
"RSI Candles","23727","glaz",
"SuperTrend STRATEGY","23485","KivancOzbilgic","strategy"
"VuManChu Cipher B + Divergences","23199","vumanchu","study"
"EMA 20/50/100/200","22979","drsweets","study"
"Bjorgum Key Levels","22692","Bjorgum","study"
"CM Stochastic Multi-TimeFrame","22683","ChrisMoody",
"DIY Custom Strategy Builder  [ZP] - v1","22634","zpayab","study"
"DIY Custom Strategy Builder  [ZP] - v1","22633","zpayab","study"
"WaveTrend with Crosses [LazyBear]","22573","lonestar108",
"HTF Power of Three°","22492","toodegrees","study"
"CM_Ultimate RSI Multi Time Frame","21792","ChrisMoody",
"Fair Value Gap [LuxAlgo]","21207","LuxAlgo","study"
"Price Action - Support & Resistance by DGT","21194","dgtrd","study"
"Order Blocks | Flux Charts","21053","fluxchart","study"
"Order Blocks | Flux Charts","21052","fluxchart","study"
"Supply and Demand Visible Range [LuxAlgo]","20829","LuxAlgo","study"
"Pro Scalper","20678","profitprotrading","study"
"Hull Suite","20668","InSilico","study"
"Pivot Points High Low & Missed Reversal Levels [LuxAlgo]","20585","LuxAlgo","study"
"Price Action Smart Money Concepts [BigBeluga]","20464","BigBeluga","study"
"ICT Killzones Toolkit [LuxAlgo]","20411","LuxAlgo","study"
"Scalping PullBack Tool R1 by JustUncleL","20330","JustUncleL","study"
"Optimized Trend Tracker","20320","KivancOzbilgic","study"
"Volume Profile / Fixed Range","20177","LonesomeTheBlue","study"
"Auto Chart Patterns [Trendoscope®]","20101","Trendoscope","study"
"MACD 4C","19665","vkno422",
"Volume Profile","19550","kv4coins","study"
"TonyUX EMA Scalper - Buy / Sell","19455","tux",
"Volume Profile Free Ultra SLI (100 Levels Value Area VWAP) - RRB","19372","RagingRocketBull","study"
"Smart Money Concept (Expo)","19176","Zeiierman","study"
"Market sessions and Volume profile - By Leviathan","19018","LeviathanCapital","study"
"Moving Average Cross Alert, Multi-Timeframe (MTF) (by ChartArt)","18972","ChartArt",
"Swing Highs/Lows & Candle Patterns [LuxAlgo]","18894","LuxAlgo","study"
"Turtle Trade Channels Indicator TUTCI","18876","KivancOzbilgic","study"
"Indicator: Weis Wave Volume [LazyBear]","18803","LazyBear",
"Profit Maximizer PMax","18605","KivancOzbilgic","study"
"Ichimoku","18470","HPotter",
"Smart Money Concept [TradingFinder] Major OB + FVG + Liquidity","18330","TFlab","study"
"VDUB_BINARY_PRO_3_V2  FINAL + Strategy","18103","vdubus",
"RSI Divergence","17895","Shizaru","study"
"Support and Resistance Power Channel [ChartPrime]","17785","ChartPrime","study"
"Support and Resistance Signals MTF [LuxAlgo]","17692","LuxAlgo","study"
"Opening Range with Breakouts & Targets [LuxAlgo]","17428","LuxAlgo","study"
"FVG Order Blocks [BigBeluga]","17366","BigBeluga","study"
"CM MACD Custom Indicator - Multiple Time Frame - V2","17329","ChrisMoody","study"
"MACD Bull Crossover and RSI Oversold 5 Candles Ago-Long Strategy","17177","Trebor_Namor","strategy"
"Divergence for many indicator v3","17107","LonesomeTheBlue","study"
"Volume Profile, Pivot Anchored by DGT","17086","dgtrd","study"
"ZigZag++","16953","DevLucem","study"
"Volume Profile and Volume Indicator by DGT","16850","dgtrd","study"
"Trendline Breakouts With Targets [ChartPrime]","16691","ChartPrime","study"
"Linear Regression Channel","16345","LonesomeTheBlue","study"
"FluidTrades - SMC Lite ","16340","Pmgjiv","study"
"PMax Explorer STRATEGY & SCREENER","16193","KivancOzbilgic","strategy"
"[RS]Support and Resistance V0","16081","RicardoSantos","study"
"Elliott Wave [LuxAlgo]","15846","LuxAlgo","study"
"Supply & Demand / Orderblocks - Multi TimeFrame (@JP7FX)","15742","jp7fx","study"
"Liquidity Pools [LuxAlgo]","15734","LuxAlgo","study"
"CM_Parabolic SAR","15705","ChrisMoody",
"Liquidity Sweeps [LuxAlgo]","15683","LuxAlgo","study"
"Hash Ribbons","15672","capriole_charles","study"
"CM_Laguerre PPO PercentileRank Mkt Tops & Bottoms","15666","ChrisMoody",
"Support Resistance Interactive","15651","LonesomeTheBlue","study"
"SuperTrend EXPLORER / SCREENER","15633","KivancOzbilgic","study"
"CM_RSI Plus EMA","15616","ChrisMoody",
"SSL Hybrid","15616","Mihkel00","study"
"ICT SM Trades (liquidity find & grab, MSS, FVG, killzones)","15610","majky","study"
"Trend Direction Helper (ZigZag and S/R and HH/LL labels)","15515","Daveatt","study"
"CM Enhanced Ichimoku Cloud V5","15257","ChrisMoody",
"Pure Price Action ICT Tools [LuxAlgo]","15170","LuxAlgo","study"
"Elliot Wave Oscillator","15140","koryu","study"
"Adaptive Trend Finder (log)","15104","Julien_Exe","study"
"ICT HTF Candles (fadi)","15076","fadizeidan","study"
"Volume Delta Candles [LuxAlgo]","15056","LuxAlgo","study"
"QQE signals","15018","colinmck","study"
"Fibonacci Extension / Retracement / Pivot Points by DGT","14965","dgtrd","study"
"Reversal Signals [LuxAlgo]","14881","LuxAlgo","study"
"Breaker Blocks with Signals [LuxAlgo]","14847","LuxAlgo","study"
"Indicator: OBV Oscillator","14817","LazyBear",
"Order Blocks with signals","14801","vuetratrading","study"
"ICT Turtle Soup | Flux Charts","14499","fluxchart","study"
"VuManChu Swing Free","14413","Jazal","study"
"FX Market Sessions","14296","boitoki","study"
"Simple Moving Averages","14197","stocksinboxx","study"
"Money Flow Profile [LuxAlgo]","14071","LuxAlgo","study"
"RSI cyclic smoothed v2","14069","StockMarketCycles","study"
"Higher High Lower Low - Live","13816","LonesomeTheBlue","study"
"3Commas Bot","13788","Bjorgum","strategy"
"Candlestick Trend Indicator v0.5 by JustUncleL","13785","JustUncleL","study"
"Auto Harmonic Patterns - V2","13757","Trendoscope","study"
"Trend Reversal Predictor","13671","KivancOzbilgic","study"
"ICT Unicorn Model [LuxAlgo]","13662","LuxAlgo","study"
"Hull Suite Strategy","13656","DashTrader","strategy"
"Support Resistance Channels/Zones Multi Time Frame","13651","LonesomeTheBlue","study"
"Linear Regression Oscillator [ChartPrime]","13615","ChartPrime","study"
"Moving Average Colored EMA/SMA","13601","repo32",
"MACD Crossover","13474","HPotter",
"Simple Volume with Pocket Pivots","13407","finallynitin","study"
"TV Community Algo","13366","HomelessLemon","study"
"Fibonacci levels","13353","raymond_red_reddington","study"
"DTFX Algo Zones [LuxAlgo]","13345","LuxAlgo","study"
"Smart Money Concepts Probability (Expo)","13330","Zeiierman","study"
"Range Detector [LuxAlgo]","13317","LuxAlgo","study"
"Pace Pro","13316","profitprotrading","study"
"ICT Silver Bullet [LuxAlgo]","13305","LuxAlgo","study"
"Zero Lag Trend Signals (MTF) [AlgoAlpha]","13273","AlgoAlpha","study"
"Mxwll Price Action Suite [Mxwll]","13261","MXWLL-Capital-Trading","study"
"BitMEX Funding and Premium Index [NeoButane]","13143","NeoButane","study"
"Auto Fib","13085","TheYangGuizi",
"Ripster EMA Clouds","13081","ripster47","study"
"Three Moving Averages [AdventTrading]","13047","AdventTrading","study"
"Market Structure CHoCH/BOS (Fractal) [LuxAlgo]","12963","LuxAlgo","study"
"ORB Algo | Flux Charts","12943","fluxchart","study"
"Key Levels SpacemanBTC IDWM","12913","spacemanbtc","study"
"Fibonacci Confluence Toolkit [LuxAlgo]","12886","LuxAlgo","study"
"Volume Profile with Node Detection [LuxAlgo]","12856","LuxAlgo","study"
"Volumatic Variable Index Dynamic Average [BigBeluga]","12819","BigBeluga","study"
"Buy&Sell Strategy depends on AO+Stoch+RSI+ATR by SerdarYILMAZ","12750","SerdarYILMAZ","strategy"
"FXN - Asian Session Range","12738","RobMinty","study"
"Inversion Fair Value Gaps (IFVG) [LuxAlgo]","12713","LuxAlgo","study"
"Pivot Points High Low Multi Time Frame","12703","LonesomeTheBlue","study"
"Supply & Demand (MTF) | Flux Charts","12677","fluxchart","study"
"Dynamic Swing Anchored VWAP (Zeiierman)","12599","Zeiierman","study"
"QQE MOD","12536","Mihkel00","study"
"Smart Money Structure | GainzAlgo","12528","GainzAlgo","study"
"Trend Type Indicator by BobRivera990","12474","BobRivera990","study"
"Support Resistance - Dynamic","12462","LonesomeTheBlue","study"
"Trend Targets [AlgoAlpha]","12452","AlgoAlpha","study"
"""The Arty"" - The Moving Average Official Indicator","12427","PhoenixBinary-Reboot","study"
"Quantitative Qualitative Estimation QQE","12417","KivancOzbilgic","study"
"Trademania - PVSRA Indicator","12353","BitbullTrading","study"
"Bollinger Awesome Alert R1 by JustUncleL","12298","JustUncleL","study"
"Supply, Demand and Equilibrium Zones, Interactive by DGT","12268","dgtrd","study"
"Zig Zag Channels [LuxAlgo]","12266","LuxAlgo","study"
"CM EMA Trend Bars","12211","ChrisMoody",
"Auto Fibonacci Retracament Levels by KIVANÇ fr3762","12074","KivancOzbilgic","study"
"Market Sessions - By Leviathan","12012","LeviathanCapital","study"
"Support/Resistance V2 Indicator","12009","BarsStallone","study"
"Auto Pitchfork, Fib Retracement and Zig Zag by DGT","11983","dgtrd","study"
"Volume Profile [LuxAlgo]","11959","LuxAlgo","study"
"Volume Orderbook (Expo)","11930","Zeiierman","study"
"Range Filter Buy and Sell 5min - guikroth version","11872","PHVNTOM_TRADER","study"
"UT Bot ","11852","Yo_adriiiiaan","study"
"Pivot Point","11780","HPotter",
"Transient Zones v1.1","11752","Jurij",
"Ultimate Strategy Template","11744","Daveatt","strategy"
"Divergence Indicator (any oscillator)","11736","yatrader2","study"
"VWAP Stdev Bands v2 Mod","11697","TheYangGuizi",
"Stochastic OTT","11681","KivancOzbilgic","study"
"Momentum-based ZigZag (incl. QQE) NON-REPAINTING","11595","Peter_O","study"
"Trend Lines Pro","11519","LonesomeTheBlue","study"
"FVG Instantaneous Mitigation Signals [LuxAlgo]","11513","LuxAlgo","study"
"Support and Resistance (MTF) | Flux Charts","11497","fluxchart","study"
"RSI (Kernel Optimized) | Flux Charts","11412","fluxchart","study"
"ProfitAlgo","11403","profitprotrading","study"
"Indicator: ElliotWave Oscillator [EWO]","11381","LazyBear",
"Linear Regression Candles","11353","ugurvu","study"
"Global Liquidity Index","11311","QuantitativeAlpha","study"
"Fibonacci Zone","11140","eykpunter","study"
"Price Action Toolkit Lite [UAlgo]","11133","UAlgo","study"
"Zero-Lag MA Trend Levels [ChartPrime]","11127","ChartPrime","study"
"Colored Volume Bars [LazyBear]","11126","LazyBear",
"Day Trading Booster by DGT","11094","dgtrd","study"
"Coral Trend Indicator [LazyBear]","11083","LazyBear",
"Volume / Open Interest ""Footprint"" - By Leviathan","11004","LeviathanCapital","study"
"Deviation Trend Profile [BigBeluga]","11002","BigBeluga","study"
"AK MACD BB INDICATOR V  1.00","10978","Algokid",
"Twin Range Filter","10912","colinmck","study"
"SMC Structures and FVG","10837","LudoGH68","study"
"Sessions on Chart","10822","Aurocks_AIF","study"
"[RS]Fractals V9","10781","RicardoSantos","study"
"AYN: Buy-, Sell-, Trend- and SwingSignals incl. AutoFibo","10768","snurk","study"
"Intraday BUY/SELL","10680","nicks1008","study"
"Follow Line Indicator","10641","Dreadblitz","study"
"Cumulative Delta Volume","10600","LonesomeTheBlue","study"
"Boom Hunter Pro","10526","veryfid","study"
"Smoothed Heiken Ashi Candles v1","10505","jackvmk",
"Linear Regression Channel","10485","ChartPrime","study"
"Golden Cross, SMA 200 Moving Average Strategy (by ChartArt)","10475","ChartArt",
"Trading ABC","10469","LonesomeTheBlue","study"
"Fibonacci Trend [ChartPrime]","10466","ChartPrime","study"
"DR/IDR V1","10391","TheMas7er","study"
"Scalping Swing Trading Tool R1-4 by JustUncleL","10382","JustUncleL","study"
"CM Gann Swing High Low V2","10368","ChrisMoody",
"Ultimate RSI [LuxAlgo]","10366","LuxAlgo","study"
"Support Resistance MTF","10350","LonesomeTheBlue","study"
"Harmonic Patterns Pro","10330","LonesomeTheBlue","study"
"Three Bar Reversal Pattern [LuxAlgo]","10306","LuxAlgo","study"
"Market Profile","10297","LonesomeTheBlue","study"
"Higher High Lower Low Strategy (With Source Code)","10258","LonesomeTheBlue","study"
"Volume Accumulation Percentage Indicator [LazyBear]","10225","LazyBear",
"Breakouts with Tests & Retests [LuxAlgo]","10208","LuxAlgo","study"
"Ichimoku + Daily-Candle_X + HULL-MA_X + MacD","10164","SeaSide420","strategy"
"Pivots High Low Line","10161","DiZer","study"
"Leledc levels (IS) ","10154","InSilico","study"
"Swing Levels and Liquidity - By Leviathan","10129","LeviathanCapital","study"
"3rd Wave","10092","LonesomeTheBlue","study"
"Heikin Ashi RSI Oscillator","10088","JayRogers","study"
"Markoni","10056","MarcosEmmiMFP","study"
"FREE INDICATOR: Laguerre RSI","10038","TheLark","study"
